title,price,rating,reviews,description,manufacturer,asin_number
"jaspo Roller Skating Bag, Quad & Inline Skates (Water Resistant), Casual/Office/College Book Backpack Computer/Laptop Bag for Both Kids & Adults Travel Backpack",521,3.4 out of 5 stars,93 ratings,,"jaspo, jaspo industries ,11 new gautam nagar, kapurthala road, jalandhar",B09791Z64V
"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,800",4.3 out of 5 stars,68 ratings,,Acefour Accessories Pvt. Ltd.,B0BWNBQXDZ
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK),"1,199",4.0 out of 5 stars,"55,017 ratings",,,
Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,"5,212 ratings","Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd,B08Z1HHHTD
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,4.3 out of 5 stars,"11,877 ratings",,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,"3,247 ratings","This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags,B09VCLZ3K4
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",649,3.9 out of 5 stars,"16,622 ratings",,Amazing Bags,B085MHDJ93
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.3 out of 5 stars,584 ratings,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",EXPERTS,B0BTD4S4XF
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Brown),987,4.4 out of 5 stars,"5,928 ratings","Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD,B07G4F6XFH
Gear Cello 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),"1,125",4.4 out of 5 stars,"5,928 ratings",,Gear Merchandise PVT LTD,B075MK4TXP
EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,"2,499",4.4 out of 5 stars,7 ratings,,EUME Lifetsyle Pvt Ltd,B0B4JNV37M
"WALKENT Stylish 15.6"" Laptop Bag with Side Bottle & Front Utility Pockets & More for Office, College, Men & Women (Model Swank, 21 Liters)","2,490",5.0 out of 5 stars,1 rating,"The WALKENT SWANK Laptop Bag is the best premium laptop bag for men and women who are always on-the-go. With a capacity of 21 liters, this stylish and fashionable bag is perfect for office and college use.Featuring: ✅Side bottle pockets - You can easily carry your water bottle and stay hydrated throughout the day. ✅The bag's cushioned shoulder straps and back provide comfort and support, even during long commutes. ✅The bag's outer material is made of waterproof and scratch-resistant polyester, ensuring that your belongings stay dry and safe.✅The Swank Laptop Backpack also comes with front utility pockets, allowing you to organize your essentials and access them easily.✅The external USB port lets you charge your devices on-the-go. ✅Its sleek and stylish front design is sure to turn heads wherever you go.✅The bag also comes with a trolley strap for ease of travel, making it the perfect companion for your business trips. ✅Inside the bag, there are organizer pockets to keep everything in its place, making it easy to find what you need. The Swank Laptop Backpack is the perfect laptop bag for men and women who want a stylish and functional bag that can handle their busy lifestyle. Order yours today and experience the ultimate convenience and style in a laptop bag.",Walkent OEM,B0C7KPTKKS
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",420,4.0 out of 5 stars,69 ratings,,B09SB5DP5Y,Draw String Bag 30x40 set of 10
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",,4.3 out of 5 stars,"29,924 ratings","Presto! offers Oxo-Biodegradable Garbage Bags to help you maintain cleanliness and hygiene in your house, office and surroundings. These garbage bags make clean-up and garbage disposal a hassle-free task while being easy on the environment! Large in size, they easily fit any large dustbins, allowing you to clean out overflowing trash. Or store away old clothes for donation or clear out your yard, garden or basement. Handy at offices or hotels, they’re useful for getting rid of leftover party plates and garbage as well. They come with a detachable tie-tape which lets you neatly tie up the bag, making it easier to carry out after use. They are available in black colour in a pack of 6 rolls, and each roll contains 15 bags for your convenience.",Narendar Plastics Pvt.Ltd,B0821PYKVK
AmazonBasics Laptop Backpack,709,4.2 out of 5 stars,653 ratings,,,
Blue Tree Kids Backpack Mini Travel Bag 1-6 Years Cow,298,4.0 out of 5 stars,377 ratings,,,
"AmazonBasics Zippered Storage Bag with Window, Rectangular",619,4.3 out of 5 stars,"1,719 ratings",,,
Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (_Best_Red_Strawberry),285,4.0 out of 5 stars,217 ratings,,,
Blue Tree Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Age (Best_Blue-Rabbit)Pack of 1,298,4.2 out of 5 stars,82 ratings,,,
"AmazonBasics Vacuum Compression Storage Bags with Hand Pump - Large, 5-Pack",689,4.5 out of 5 stars,"10,421 ratings",,,
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",689,3.8 out of 5 stars,"2,327 ratings",,B09QJ7ZF2Y,LEGEND-1
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,630,4.0 out of 5 stars,486 ratings,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",SHABA BAGS,B0BS6QQZYN
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,549,4.0 out of 5 stars,125 ratings,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily.",Northzone,B0BL3TVDK6
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9 out of 5 stars,"1,030 ratings",,ADISA,B09TPX22NF
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,224,3.7 out of 5 stars,"6,852 ratings",,17 December 2015,Gear Merchandise PVT LTD
HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"5,255",4.4 out of 5 stars,572 ratings,,Hindustan Foam,B083M1QK32
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,229,4.3 out of 5 stars,"3,405 ratings",,Arctic Fox,B08L6Q9V1H
"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,599",4.4 out of 5 stars,"2,183 ratings",,,
"WALKENT Premium 2 in 1 Multifunction Travel Backpack & Laptop Bag Ideal for Sales & Marketing Jobs - Waterproof, Cushioned Strap, Multiple Carrying Positions for Men - (Model Duo, 35 Ltrs)","3,029",4.6 out of 5 stars,19 ratings,"When it comes to finding the perfect laptop backpack, the Walkent Duo Laptop Backapck stands out from the crowd. This innovative bag is designed to meet all of your needs, whether you're a busy professional, a student on the go, or someone who loves to travel.One of the standout features of the Walkent Duo is its versatility. With its ability to transform into three different styles - a school bag, a hand bag, or a suitcase - you can customize your bag to meet your needs, no matter where your day takes you. Shoulder straps can be folded inside the bad and be hidden to make this bag a proper duffle bag. In addition to its flexible design, the Walkent Duo is also incredibly durable. The bag's water-resistant and scratch-resistant outer ensures that your belongings stay safe and dry, even in challenging weather conditions. And with its cushioned laptop compartment, you can trust that your devices will be protected from bumps and scratches. But that's not all - the Walkent Duo also features multiple compartments, including anti-theft pockets and a separate shoe compartment, making it easy to stay organized no matter what you're carrying. And with its padded shoulder straps and back, you can carry your bag comfortably, even when you're carrying a heavy load. If you're someone who loves to stay connected, you'll appreciate the Walkent Duo's external USB and audio port, which makes it easy to charge your devices on the go. And with its trolley sleeve for travel, you can easily attach your bag to your luggage and breeze through the airport. The Walkent Duo Laptop Backpack is the perfect choice for anyone who wants a functional and stylish laptop backpack that can keep up with their busy lifestyle. Order yours today and start experiencing the ultimate in comfort, convenience, and style.","Walkent (OEM Shenzhen Xinli Bag Co., Ltd.)",B0BJ986NTC
"uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)","1,200",4.3 out of 5 stars,33 ratings,,Acefour Accessories Pvt. Ltd.,B0B9T4YDPX
